Entity Name	Object Type Code
   Account	1
   AccountLeads	16
   ActivityAttachment	1001
   ActivityParty	135
   ActivityPointer	4200
   Annotation	5
   ApplicationFile	4707
   Appointment	4201
   AsyncOperation	4700
   Attachment	1002
   AttributeMap	4601
   Audit	4567
   BulkDeleteFailure	4425
   BulkDeleteOperation	4424
   BulkOperation	4406
   BulkOperationLog	4405
   BusinessUnit	10
   BusinessUnitMap	6
   BusinessUnitNewsArticle	132
   Calendar	4003
   CalendarRule	4004
   Campaign	4400
   CampaignActivity	4402
   CampaignActivityItem	4404
   CampaignItem	4403
   CampaignResponse	4401
   ClientUpdate	36
   ColumnMapping	4417
   Commitment	4215
   Competitor	123
   CompetitorAddress	1004
   CompetitorProduct	1006
   CompetitorSalesLiterature	26
   Connection	3234
   ConnectionRole	3231
   ConnectionRoleAssociation	3232
   ConnectionRoleObjectTypeCode	3233
   ConstraintBasedGroup	4007
   Contact	2
   ContactInvoices	17
   ContactLeads	22
   ContactOrders	19
   ContactQuotes	18
   Contract	1010
   ContractDetail	1011
   ContractTemplate	2011
   CustomerAddress	1071
   CustomerOpportunityRole	4503
   CustomerRelationship	4502
   Dependency	7105
   DependencyNode	7106
   Discount	1013
   DiscountType	1080
   DisplayString	4102
   DisplayStringMap	4101
   DocumentIndex	126
   DuplicateRecord	4415
   DuplicateRule	4414
   DuplicateRuleCondition	4416
   Email	4202
   EmailHash	4023
   EmailSearch	4299
   EntityMap	4600
   Equipment	4000
   Fax	4204
   FieldPermission	1201
   FieldSecurityProfile	1200
   FilterTemplate	30
   Goal	9600
   GoalRollupQuery	9602
   Import	4410
   ImportData	4413
   ImportEntityMapping	4428
   ImportFile	4412
   ImportJob	9107
   ImportLog	4423
   ImportMap	4411
   Incident	112
   IncidentResolution	4206
   IntegrationStatus	3000
   InternalAddress	1003
   InterProcessLock	4011
   InvalidDependency	7107
   Invoice	1090
   InvoiceDetail	1091
   IsvConfig	4705
   KbArticle	127
   KbArticleComment	1082
   KbArticleTemplate	1016
   Lead	4
   LeadAddress	1017
   LeadCompetitors	24
   LeadProduct	27
   Letter	4207
   License	2027
   List	4300
   ListMember	4301
   LookUpMapping	4419
   MailMergeTemplate	9106
   Metric	9603
   msdyn_PostAlbum	10021
   msdyn_PostConfig	10022
   msdyn_PostRuleConfig	10023
   Notification	4110
   Opportunity	3
   OpportunityClose	4208
   OpportunityCompetitors	25
   OpportunityProduct	1083
   OrderClose	4209
   Organization	1019
   OrganizationStatistic	4708
   OrganizationUI	1021
   Owner	7
   OwnerMapping	4420
   PhoneCall	4210
   PickListMapping	4418
   PluginAssembly	4605
   PluginType	4602
   PluginTypeStatistic	4603
   Post	8000
   PostComment	8005
   PostFollow	8003
   PostLike	8006
   PostRegarding	8002
   PostRole	8001
   PriceLevel	1022
   PrincipalAttributeAccessMap	43
   PrincipalEntityMap	41
   PrincipalObjectAccess	11
   PrincipalObjectAttributeAccess	44
   Privilege	1023
   PrivilegeObjectTypeCodes	31
   ProcessSession	4710
   Product	1024
   ProductAssociation	1025
   ProductPriceLevel	1026
   ProductSalesLiterature	21
   ProductSubstitute	1028
   Publisher	7101
   PublisherAddress	7102
   Queue	2020
   QueueItem	2029
   Quote	1084
   QuoteClose	4211
   QuoteDetail	1085
   RecurrenceRule	4250
   RecurringAppointmentMaster	4251
   RelationshipRole	4500
   RelationshipRoleMap	4501
   ReplicationBacklog	1140
   Report	9100
   ReportCategory	9102
   ReportEntity	9101
   ReportLink	9104
   ReportVisibility	9103
   Resource	4002
   ResourceGroup	4005
   ResourceGroupExpansion	4010
   ResourceSpec	4006
   RibbonCommand	1116
   RibbonContextGroup	1115
   RibbonCustomization	1120
   RibbonDiff	1130
   RibbonRule	1117
   RibbonTabToCommandMap	1113
   Role	1036
   RolePrivileges	12
   RoleTemplate	1037
   RoleTemplatePrivileges	28
   RollupField	9604
   SalesLiterature	1038
   SalesLiteratureItem	1070
   SalesOrder	1088
   SalesOrderDetail	1089
   SalesProcessInstance	32
   SavedQuery	1039
   SavedQueryVisualization	1111
   SdkMessage	4606
   SdkMessageFilter	4607
   SdkMessagePair	4613
   SdkMessageProcessingStep	4608
   SdkMessageProcessingStepImage	4615
   SdkMessageProcessingStepSecureConfig	4616
   SdkMessageRequest	4609
   SdkMessageRequestField	4614
   SdkMessageResponse	4610
   SdkMessageResponseField	4611
   Service	4001
   ServiceAppointment	4214
   ServiceContractContacts	20
   ServiceEndpoint	4618
   SharePointDocumentLocation	9508
   SharePointSite	9502
   Site	4009
   SiteMap	4709
   Solution	7100
   SolutionComponent	7103
   StatusMap	1075
   StringMap	1043
   Subject	129
   Subscription	29
   SubscriptionClients	1072
   SubscriptionManuallyTrackedObject	37
   SubscriptionSyncInfo	33
   SubscriptionTrackingDeletedObject	35
   SystemForm	1030
   SystemUser	8
   SystemUserBusinessUnitEntityMap	42
   SystemUserLicenses	13
   SystemUserPrincipals	14
   SystemUserProfiles	1202
   SystemUserRoles	15
   Task	4212
   Team	9
   TeamMembership	23
   TeamProfiles	1203
   TeamRoles	40
   Template	2010
   Territory	2013
   TimeZoneDefinition	4810
   TimeZoneLocalizedName	4812
   TimeZoneRule	4811
   TransactionCurrency	9105
   TransformationMapping	4426
   TransformationParameterMapping	4427
   UnresolvedAddress	2012
   UoM	1055
   UoMSchedule	1056
   UserEntityInstanceData	2501
   UserEntityUISettings	2500
   UserFiscalCalendar	1086
   UserFiscalCalendar	2000
   UserFiscalCalendar	2001
   UserFiscalCalendar	2002
   UserFiscalCalendar	2003
   UserFiscalCalendar	2004
   UserForm	1031
   UserQuery	4230
   UserQueryVisualization	1112
   UserSettings	150
   WebResource	9333
   WebWizard	4800
   WizardAccessPrivilege	4803
   WizardPage	4802
   Workflow	4703
   WorkflowDependency	4704
   WorkflowLog	4706
   WorkflowWaitSubscription	4702
